latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
30.8484,73.77069,339.07,0.51,0.41,2024-10-16,826,N,VIIRS,n,2,304.67,4.06,D,0
30.85155,73.86316,335.69,0.51,0.41,2024-10-16,826,N,VIIRS,n,2,307.05,3.31,D,0
30.86295,73.9943,337.92,0.52,0.42,2024-10-16,826,N,VIIRS,n,2,308.87,6.42,D,0
30.87949,74.20645,335.77,0.53,0.42,2024-10-16,826,N,VIIRS,n,2,306.22,5.2,D,0
30.88982,73.9902,333.88,0.52,0.42,2024-10-16,826,N,VIIRS,l,2,305.28,4.16,D,0
30.89691,74.05072,337.95,0.53,0.42,2024-10-16,826,N,VIIRS,n,2,309.58,3.61,D,0
30.91578,74.28147,334.79,0.54,0.42,2024-10-16,826,N,VIIRS,l,2,307.43,4.53,D,0
30.91963,74.21185,330.11,0.54,0.42,2024-10-16,826,N,VIIRS,l,2,304.09,1.3,D,0
30.92347,74.17697,331.49,0.53,0.42,2024-10-16,826,N,VIIRS,n,2,305.27,1.34,D,0
30.92413,74.18009,330.65,0.53,0.42,2024-10-16,826,N,VIIRS,l,2,304.2,2.04,D,0
30.93298,73.67879,333,0.5,0.41,2024-10-16,826,N,VIIRS,l,2,307.59,3.92,D,0
30.93433,74.02557,340.61,0.52,0.42,2024-10-16,826,N,VIIRS,n,2,308.15,5.3,D,0
30.93645,73.94142,344.87,0.52,0.41,2024-10-16,826,N,VIIRS,n,2,308.89,8.37,D,0
30.93818,74.02499,335.33,0.52,0.42,2024-10-16,826,N,VIIRS,n,2,306.89,5.3,D,0
30.9384,74.16651,334.49,0.53,0.42,2024-10-16,826,N,VIIRS,l,2,306.5,3.45,D,0
30.93875,74.51828,334.83,0.56,0.43,2024-10-16,826,N,VIIRS,n,2,306.23,6.66,D,0
30.95924,74.50111,330.39,0.55,0.43,2024-10-16,826,N,VIIRS,l,2,303.44,1.96,D,0
